Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"Ancestors: The Humankind Odyssey
",XOne,Adventure,Private Division,Panache Digital Games,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Dec 19,09th Apr 19,2019
"Beasts of Maravilla Island
",XOne,Adventure,Unknown,Banana Bird Studios,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 21,N/A
"Close to the Sun
",XOne,Adventure,Wired Productions,Storm in a Teacup,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 19,19th May 19,2019
"Flower, Sun, and Rain
",DS,Adventure,Marvelous Interactive,High Horse Entertainment,4,5.7,N/A,N/A,0.07,0.06,0.00,N/A,0.01,15th Jun 09,N/A,2009
"Leisure Suit Larry: Wet Dreams Don't Dry
",XOne,Adventure,Unknown,CrazyBunch,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Oct 20,N/A
"Sea of Solitude
",XOne,Adventure,Electronic Arts,Jo-Mei Games,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Jul 19,02nd Jun 19,2019
"Subnautica
",PC,Adventure,Unknown Worlds Entertainment,Unknown Worlds Entertainment,4,N/A,N/A,2.87,N/A,N/A,N/A,N/A,N/A,23rd Jan 18,14th Feb 18,2018
"The Caligula Effect 2
",PS4,Adventure,Unknown,Historia,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Oct 21,N/A
"We Are OFK
",PS5,Adventure,Unknown,Team OFK,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Sep 22,N/A
"Yesterday Origins
",NS,Adventure,Unknown,Pendulo Studios,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Apr 18,N/A
"I Saw Black Clouds
",XOne,Adventure,Unknown,Ghost Dog Films,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Apr 21,N/A
"Midnight Caravan
",PC,Adventure,Unknown,Gamera Interactive,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th May 21,N/A
"Trenches
",XS,Adventure,Unknown,Steelkrill Studio,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 23,N/A
"EDENGATE: The Edge of Life
",XOne,Adventure,Unknown,HOOK,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 22,N/A
"Evil Inside
",XS,Adventure,Unknown,JanduSoft,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Apr 21,N/A
"Headspun
",PC,Adventure,Unknown,Superstring,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Sep 19,N/A
"Norman's Great Illusion
",PSV,Adventure,Unknown,CivilSavages,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Aug 20,N/A
"Planet RIX-13
",PSV,Adventure,Sometimes You,9 Eyes Game Studio,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jan 19,05th Jan 19,2019
"Walden, a game
",PS4,Adventure,Unknown,USC Games,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Aug 22,N/A
"Dream Chronicles
",XBL,Adventure,Hudson Soft,Hudson Soft,2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Oct 10,N/A,2010
"Behind Closed Doors: A Developer's Tale
",XS,Adventure,Unknown,PEW Games,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Jun 22,N/A
