Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"Batman: Arkham City
",PS3,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,9.6,N/A,N/A,5.54,2.72,1.89,0.11,0.82,18th Oct 11,N/A,2011
"Grand Theft Auto V
",PS3,Action,Rockstar Games,Rockstar North,9.5,9.4,N/A,N/A,20.32,6.37,9.85,0.99,3.12,17th Sep 13,N/A,2013
"Metal Gear Solid 4: Guns of the Patriots
",PS3,Action,Konami,Kojima Productions,9.5,9.3,9.8,6.00,N/A,N/A,N/A,N/A,N/A,12th Jun 08,N/A,2008
"God of War III
",PS3,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,9.4,9.2,9.4,7.60,N/A,N/A,N/A,N/A,N/A,16th Mar 10,N/A,2010
"Metal Gear Solid: Peace Walker
",PSP,Action,Konami,Kojima Productions,9.4,8.6,N/A,N/A,2.08,0.46,0.42,0.96,0.25,08th Jun 10,N/A,2010
"Alan Wake
",X360,Action,Microsoft Game Studios,Remedy Entertainment,9.2,8.3,N/A,N/A,1.33,0.66,0.50,0.05,0.12,18th May 10,N/A,2010
"Uncharted 2: Among Thieves
",PS3,Action,Sony Computer Entertainment,Naughty Dog,9.2,9.5,9.6,N/A,6.74,3.28,2.22,0.21,1.02,13th Oct 09,N/A,2009
"Kid Icarus: Uprising
",3DS,Action,Nintendo,Project Sora,9.2,8,N/A,1.36,N/A,N/A,N/A,N/A,N/A,23rd Mar 12,05th Jan 18,2012
"Dishonored
",PC,Action,Bethesda Softworks,Arkane Studios,9.1,N/A,N/A,3.00,N/A,N/A,N/A,N/A,N/A,16th Apr 13,01st Jan 18,2013
"Batman: Arkham Asylum
",PS3,Action,Eidos Interactive,Rocksteady Studios,9.1,9,N/A,N/A,4.28,2.26,1.33,0.07,0.63,25th Aug 09,N/A,2009
"Bayonetta
",X360,Action,Sega,PlatinumGames,9.1,8.9,9.5,N/A,0.93,0.51,0.25,0.09,0.08,05th Jan 10,N/A,2010
"Red Dead Redemption
",PS3,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,N/A,N/A,6.57,2.82,2.58,0.17,1.00,11th Oct 11,N/A,2011
"Red Dead Redemption
",X360,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,10,N/A,6.50,3.77,2.03,0.09,0.60,18th May 10,N/A,2010
"Assassin's Creed II
",PS3,Action,Ubisoft,Ubisoft Montreal,9,9,N/A,N/A,5.57,2.54,1.95,0.21,0.86,17th Nov 09,03rd Jan 18,2009
"Assassin's Creed II
",X360,Action,Ubisoft,Ubisoft Montreal,9,9.1,N/A,N/A,5.30,3.14,1.55,0.08,0.52,17th Nov 09,N/A,2009
"Batman: Arkham Asylum
",X360,Action,Eidos Interactive,Rocksteady Studios,9,9.1,N/A,N/A,3.54,2.24,0.95,0.02,0.33,25th Aug 09,N/A,2009
"Devil May Cry 5
",XOne,Action,Capcom,Capcom,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Mar 19,21st Mar 19,2019
"Ghostrunner
",PC,Action,505 Games,One More Level,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 20,15th Sep 20,2020
"God of War (2018)
",PS4,Action,Sony Interactive Entertainment,SIE Santa Monica Studio,9,9.7,10,19.50,N/A,N/A,N/A,N/A,N/A,20th Apr 18,26th May 22,2018
"God of War Collection
",PS3,Action,Sony Computer Entertainment,Bluepoint Games,9,9.2,N/A,2.42,N/A,N/A,N/A,N/A,N/A,17th Nov 09,N/A,2009
"Grand Theft Auto IV
",PS3,Action,Rockstar Games,Rockstar North,9,10,9,N/A,10.57,4.79,3.73,0.44,1.62,29th Apr 08,N/A,2008
"Grand Theft Auto IV
",X360,Action,Rockstar Games,Rockstar North,9,10,N/A,N/A,11.09,6.80,3.11,0.14,1.04,29th Apr 08,N/A,2008
"Middle-Earth: Shadow of Mordor
",PS4,Action,Warner Bros. Interactive Entertainment,Monolith Productions,9,N/A,N/A,2.88,N/A,N/A,N/A,N/A,N/A,30th Sep 14,04th May 18,2014
"Resident Evil 4
",Wii,Action,Capcom,Capcom Production Studio 4,9,9.2,9.7,2.00,N/A,N/A,N/A,N/A,N/A,19th Jun 07,20th Jul 19,2007
"Resident Evil: Revelations
",3DS,Action,Capcom,Capcom,9,7.8,N/A,N/A,0.89,0.30,0.23,0.30,0.05,07th Feb 12,N/A,2012
"Saints Row IV
",X360,Action,Deep Silver,Volition Inc.,9,N/A,N/A,N/A,1.69,1.01,0.51,0.01,0.15,20th Aug 13,02nd Apr 18,2013
"Uncharted 3: Drake's Deception
",PS3,Action,Sony Computer Entertainment,Naughty Dog,9,9.3,6.3,9.30,N/A,N/A,N/A,N/A,N/A,01st Nov 11,N/A,2011
"No More Heroes 2: Desperate Struggle
",Wii,Action,Ubisoft,Grasshopper Manufacture,8.9,8.5,N/A,N/A,0.40,0.20,0.11,0.04,0.03,26th Jan 10,N/A,2010
"inFAMOUS 2
",PS3,Action,Sony Computer Entertainment,Sucker Punch Productions,8.9,8.1,N/A,N/A,1.87,1.05,0.48,0.08,0.26,07th Jun 11,N/A,2011
"Metal Gear Solid HD Collection
",PS3,Action,Konami Digital Entertainment,Bluepoint Games,8.9,N/A,N/A,N/A,1.11,0.52,0.44,N/A,0.14,08th Nov 11,19th Mar 18,2011
"Assassin's Creed: Brotherhood
",PS3,Action,Ubisoft,Ubisoft Montreal,8.8,9.1,N/A,N/A,2.85,1.87,0.57,0.11,0.30,16th Nov 10,N/A,2010
"Bayonetta 2
",WiiU,Action,Nintendo,PlatinumGames,8.8,9.3,N/A,0.28,N/A,N/A,N/A,N/A,N/A,24th Oct 14,20th Mar 18,2014
"Sunset Overdrive
",XOne,Action,Microsoft Studios,Insomniac Games,8.8,8,N/A,N/A,1.16,0.64,0.42,0.00,0.10,28th Oct 14,06th Jan 18,2014
"The Binding of Isaac: Rebirth
",PSV,Action,Nicalis,Nicalis,8.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 14,06th Aug 18,2014
"Ninja Gaiden Sigma 2
",PS3,Action,Tecmo Koei,Team Ninja,8.8,8.5,N/A,N/A,0.85,0.52,0.16,0.08,0.10,29th Sep 09,N/A,2009
"Teenage Mutant Ninja Turtles IV: Turtles in Time
",SNES,Action,Konami,Konami,8.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92,N/A,2092
"Tom Clancy's Splinter Cell: Conviction
",X360,Action,Ubisoft,Ubisoft Montreal,8.8,8.6,N/A,N/A,2.06,1.20,0.62,0.04,0.19,13th Apr 10,N/A,2010
"MadWorld
",Wii,Action,Sega,PlatinumGames,8.7,8.1,8.1,N/A,0.78,0.45,0.24,0.02,0.07,10th Mar 09,N/A,2009
"Uncharted: Drake's Fortune
",PS3,Action,Sony Computer Entertainment,Naughty Dog,8.7,8.7,8.6,N/A,4.97,2.32,1.73,0.12,0.80,16th Nov 07,N/A,2007
"Bounty Bots
",iOS,Action,Unknown,"MunkyFun, Inc.",8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Aug 22,N/A
"Hitman: Absolution
",X360,Action,Square Enix,IO Interactive,8.7,N/A,N/A,N/A,1.70,0.68,0.88,0.01,0.13,20th Nov 12,N/A,2012
"Sid Meier's Civilization V: Brave New World
",PC,Action,2K Games,Unknown,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jul 13,N/A,2013
"The Wonderful 101
",WiiU,Action,Nintendo,PlatinumGames,8.7,8,N/A,N/A,0.36,0.15,0.11,0.08,0.02,15th Sep 13,14th Mar 18,2013
"Tomb Raider (2013)
",PS3,Action,Square Enix,Crystal Dynamics,8.7,8.9,N/A,N/A,2.51,0.60,1.45,0.08,0.38,05th Mar 13,06th Jan 18,2013
"DmC Devil May Cry
",PS3,Action,Capcom,Ninja Theory,8.6,N/A,N/A,N/A,0.81,0.24,0.29,0.19,0.10,15th Jan 13,01st May 18,2013
"Ridiculous Fishing
",iOS,Action,Unknown,Vlambeer,8.6,N/A,N/A,0.30,N/A,N/A,N/A,N/A,N/A,N/A,17th Feb 21,N/A
"Castlevania: Lords of Shadow
",X360,Action,Konami,Mercury Steam,8.5,7.9,N/A,N/A,0.66,0.42,0.17,0.01,0.05,05th Oct 10,N/A,2010
"Killer is Dead
",X360,Action,Xseed Games,Grasshopper Manufacture,8.5,N/A,N/A,N/A,0.13,0.09,0.02,0.01,0.01,27th Aug 13,20th Aug 18,2013
"Lego Marvel Super Heroes
",PS4,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,8.5,N/A,N/A,N/A,1.91,0.59,1.00,0.01,0.30,15th Nov 13,01st Dec 18,2013
"Russian Subway Dogs
",PSV,Action,Unknown,Spooky Squid Games Inc.,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jul 21,N/A
"Sid Meier's Civilization V: Gods & Kings
",PC,Action,2K Games,Unknown,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Jun 12,N/A,2012
"Young Thor
",PSN,Action,Frima Studio,Frima Studio,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Jul 10,N/A,2010
"Bayonetta
",PS3,Action,Sega,PlatinumGames,8.4,8.6,7.2,N/A,1.21,0.44,0.40,0.21,0.16,05th Jan 10,N/A,2010
"Fat Princess
",PSN,Action,Sony Computer Entertainment,Titan Studios,8.4,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Jul 09,N/A,2009
"Resident Evil 5
",PS3,Action,Capcom,Capcom,8.4,8.6,8.8,N/A,5.10,1.96,1.42,1.08,0.64,13th Mar 09,N/A,2009
"Resident Evil 5
",X360,Action,Capcom,Capcom,8.4,8.6,N/A,N/A,3.53,2.13,0.93,0.12,0.34,13th Mar 09,N/A,2009
"God of War: Ghost of Sparta
",PSP,Action,Sony Computer Entertainment,Ready at Dawn,8.4,8.3,N/A,1.20,N/A,N/A,N/A,N/A,N/A,02nd Nov 10,N/A,2010
"God of War: Origins Collection
",PSN,Action,Sony Computer Entertainment,Ready at Dawn,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Sep 11,N/A,2011
"Metroid: Other M
",Wii,Action,Nintendo,Nintendo SPD Production Group 1/Team Ninja,8.4,7.7,N/A,N/A,1.36,0.85,0.28,0.13,0.10,31st Aug 10,N/A,2010
"Prince of Persia: The Forgotten Sands
",PS3,Action,Ubisoft,Ubisoft Montreal,8.4,N/A,N/A,N/A,0.69,0.19,0.36,0.01,0.12,18th May 10,N/A,2010
"Shadows of the Damned
",PS3,Action,Electronic Arts,Grasshopper Manufacture,8.4,7.9,N/A,N/A,0.27,0.11,0.09,0.04,0.03,21st Jun 11,N/A,2011
"Shrek the Third
",X360,Action,Activision,7 Studios,8.4,N/A,N/A,N/A,0.69,0.54,0.09,N/A,0.06,15th May 07,N/A,2007
"Super Stardust Delta
",PSV,Action,Sony Computer Entertainment,SCEA,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Feb 12,N/A,2012
"Uncharted: Golden Abyss
",PSV,Action,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,8.4,7.9,N/A,N/A,1.62,0.53,0.71,0.13,0.25,15th Feb 12,N/A,2012
"LEGO Star Wars III: The Clone Wars
",PS3,Action,LucasArts,Traveller's Tales,8.3,8,N/A,N/A,1.18,0.52,0.47,N/A,0.19,22nd Mar 11,N/A,2011
"Ghostbusters: The Video Game
",PS3,Action,Atari,Terminal Reality,8.3,7.8,N/A,N/A,0.84,0.34,0.36,N/A,0.14,16th Jun 09,N/A,2009
"Ghostbusters: The Video Game
",X360,Action,Atari,Terminal Reality,8.3,7.7,N/A,N/A,0.62,0.43,0.14,N/A,0.06,16th Jun 09,N/A,2009
"Ninja Gaiden: Dragon Sword
",DS,Action,Tecmo,Team Ninja,8.3,8,N/A,0.34,N/A,N/A,N/A,N/A,N/A,25th Mar 08,N/A,2008
"Retro Game Challenge
",DS,Action,Xseed Games,Bandai Namco Games,8.3,8.1,N/A,N/A,0.11,N/A,N/A,0.11,N/A,10th Feb 09,N/A,2009
"Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009
",DS,Action,Konami,Konami,8.3,7.5,N/A,N/A,0.40,0.27,0.01,0.09,0.03,19th May 09,N/A,2009
"Castle Crashers
",XBL,Action,The Behemoth,The Behemoth,8.2,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Aug 08,N/A,2008
"Darksiders
",PS3,Action,THQ,Vigil Games,8.2,7.8,8.5,N/A,0.28,0.02,0.14,0.02,0.10,05th Jan 10,N/A,2010
"Darksiders
",X360,Action,THQ,Vigil Games,8.2,7.8,N/A,N/A,1.06,0.67,0.28,0.01,0.10,05th Jan 10,N/A,2010
"inFAMOUS
",PS3,Action,Sony Computer Entertainment,Sucker Punch Productions,8.2,8.7,9.1,2.00,N/A,N/A,N/A,N/A,N/A,26th May 09,N/A,2009
"Charlie Murder
",XBL,Action,Unknown,Ska Studios,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Aug 13,N/A,2013
"Deadpool
",X360,Action,Activision,High Moon Studios,8.2,N/A,N/A,N/A,0.44,0.26,0.14,N/A,0.04,25th Jun 13,10th Oct 18,2013
"Malicious
",PSN,Action,Sony Computer Entertainment,Alvion Inc.,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Feb 12,N/A,2012
"New Super Luigi U
",WiiU,Action,Nintendo,Nintendo,8.2,7.8,N/A,3.07,N/A,N/A,N/A,N/A,N/A,25th Aug 13,24th Jan 18,2013
"Nidhogg
",PC,Action,Messhof,Messhof,8.2,N/A,N/A,0.79,N/A,N/A,N/A,N/A,N/A,13th Jan 14,09th Sep 18,2014
"Oddworld: Stranger's Wrath HD
",PSN,Action,Oddworld Inhabitants,Just Add Water,8.2,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Dec 11,N/A,2011
"ZombiU
",WiiU,Action,Ubisoft,Ubisoft Montpellier,8.2,6.9,N/A,N/A,0.84,0.35,0.37,0.05,0.07,18th Nov 12,02nd Aug 20,2012
"Binary Domain
",PS3,Action,Sega,Amusement Vision,8.1,N/A,N/A,N/A,0.33,0.09,0.07,0.14,0.03,28th Feb 12,16th Feb 18,2012
"God of War: Ascension
",PS3,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,8.1,N/A,N/A,3.00,N/A,N/A,N/A,N/A,N/A,12th Mar 13,04th Apr 18,2013
"Prince of Persia: The Forgotten Sands
",Wii,Action,Ubisoft,Quebec City,8.1,7.5,N/A,N/A,0.24,0.10,0.11,N/A,0.02,18th May 10,N/A,2010
"[Prototype]
",PC,Action,Activision,Radical Entertainment,8.1,7.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jun 09,N/A,2009
"Azure Striker Gunvolt 3
",NS,Action,Unknown,Inti Creates,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 20,N/A
"Bleeding Edge
",XOne,Action,Xbox Game Studios,Ninja Theory,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 20,04th Aug 20,2020
"Bloodstained: Curse of the Moon 2
",NS,Action,Inti Creates,Inti Creates,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Jul 20,27th Jun 20,2020
"Chivalry 2
",XS,Action,Tripwire Interactive,Torn Banner Studios,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,18th Jun 20,2020
"Code Vein
",PS4,Action,Bandai Namco Entertainment,Bandai Namco Studios,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 19,17th Jun 18,2019
"Dead Island
",X360,Action,Deep Silver,Techland,8,7,N/A,N/A,2.38,1.48,0.70,N/A,0.21,06th Sep 11,N/A,2011
"Deus Ex: Human Revolution - The Missing Link
",XBL,Action,Square Enix,Eidos Montreal,8,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Oct 11,N/A,2011
"Devil May Cry 3 Special Edition
",NS,Action,Capcom,Capcom,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Feb 20,24th Feb 20,2020
"Diablo III: Eternal Collection
",NS,Action,Blizzard Entertainment,Blizzard Entertainment,8,9,N/A,N/A,0.67,0.38,0.22,0.01,0.06,02nd Nov 18,13th Sep 18,2018
"Dying Light
",PS4,Action,Warner Bros. Interactive,Techland,8,N/A,N/A,N/A,2.45,1.18,0.74,0.13,0.40,27th Jan 15,04th May 18,2015
"El Shaddai: Ascension of the Metatron
",PS3,Action,Ignition Entertainment,Ignition Entertainment,8,8,N/A,N/A,0.28,0.11,0.07,0.08,0.03,16th Aug 11,N/A,2011
"Guacamelee!
",PS3,Action,DrinkBox Studios,DrinkBox Studios,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Apr 13,07th Aug 18,2013
"Lazy Raiders
",XBL,Action,Sarbakan,Sarbakan Inc.,8,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 10,N/A,2010
"Metal Gear Solid HD Collection
",PSV,Action,Konami Digital Entertainment,Kojima Productions,8,N/A,N/A,N/A,0.03,0.03,0.01,N/A,N/A,12th Jun 12,19th Mar 18,2012
"Monster Hunter: World
",XOne,Action,Capcom,Capcom,8,9.4,N/A,N/A,0.93,0.67,0.17,N/A,0.09,26th Jan 18,30th Jan 18,2018
"Neon White
",PC,Action,Unknown,Ben Esposito,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 21,N/A
"Noble Nutlings
",iOS,Action,Unknown,Boomlagoon,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Aug 22,N/A
"Persona 5 Strikers
",PS4,Action,Atlus,Omega Force,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Feb 21,04th Dec 20,2021
"Snoopy Flying Ace
",XBL,Action,Microsoft,Smart Bomb Interactive,8,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Jun 10,N/A,2010
"Streets of Rage 4
",NS,Action,DotEmu,Lizardcube,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Apr 20,25th Nov 19,2020
"Super Daryl Deluxe
",NS,Action,Dan & Gary Games,Dan & Gary Games,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Apr 18,23rd Mar 18,2018
"Teenage Mutant Ninja Turtles: Shredder's Revenge
",NS,Action,DotEmu,Tribute Games,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 22,10th Jun 22,2022
"Torchlight II
",NS,Action,Runic Games,Runic Games,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Sep 19,03rd Sep 19,2019
"Twin Breaker: A Sacred Symbols Adventure
",PS4,Action,Lillymo Games Inc,Lillymo Games Inc,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 20,13th Feb 20,2020
"Velocity 2X
",NS,Action,Unknown,FuturLab,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Oct 18,N/A
"Dead Rising 3
",XOne,Action,Microsoft Studios,Capcom,7.9,N/A,N/A,3.20,N/A,N/A,N/A,N/A,N/A,22nd Nov 13,24th Mar 18,2013
"God of War: Chains of Olympus
",PSP,Action,Sony Computer Entertainment,Ready at Dawn,7.9,8.9,9.5,3.26,N/A,N/A,N/A,N/A,N/A,04th Mar 08,N/A,2008
"Tenchu: Shadow Assassins
",PSP,Action,Ubisoft,From Software,7.9,7.5,N/A,N/A,0.12,0.03,0.03,0.05,0.01,24th Mar 09,N/A,2009
"Tenchu: Shadow Assassins
",Wii,Action,Ubisoft,Acquire,7.9,7,N/A,N/A,0.21,0.15,0.01,0.03,0.01,05th Feb 09,N/A,2009
"Anarchy Reigns
",X360,Action,Sega,PlatinumGames,7.8,N/A,N/A,N/A,0.18,0.12,0.02,0.02,0.02,08th Jan 13,N/A,2013
"Jak & Daxter Collection
",PS3,Action,Sony Computer Entertainment,Mass Media,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Feb 12,09th Jan 18,2012
"LEGO City Undercover
",WiiU,Action,Nintendo,TT Fusion,7.8,7.5,N/A,1.15,N/A,N/A,N/A,N/A,N/A,18th Mar 13,20th Mar 18,2013
"Resident Evil 4 HD
",PSN,Action,Capcom,Capcom,7.8,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Sep 11,N/A,2011
"Samurai Warriors Chronicles
",3DS,Action,Tecmo Koei,Omega Force,7.8,5.4,N/A,0.26,N/A,N/A,N/A,N/A,N/A,27th Mar 11,04th Aug 18,2011
"Star Wars: The Force Unleashed II
",PS3,Action,LucasArts,LucasArts,7.8,6.3,N/A,N/A,1.51,0.80,0.50,N/A,0.21,26th Oct 10,N/A,2010
"Zack Zero
",PS3,Action,Unknown,Unknown,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Jan 12,N/A,2012
"Brutal Legend
",PS3,Action,Electronic Arts,Double Fine Productions,7.8,7.9,N/A,N/A,0.94,0.54,0.27,N/A,0.13,13th Oct 09,N/A,2009
"Brutal Legend
",X360,Action,Electronic Arts,Double Fine Productions,7.8,8.5,N/A,N/A,0.97,0.62,0.26,N/A,0.09,13th Oct 09,N/A,2009
"God Hand
",PS2,Action,Capcom,Clover Studio,7.8,7,N/A,0.06,N/A,N/A,N/A,N/A,N/A,10th Oct 06,N/A,2006
"Hammerin' Hero
",PSP,Action,Atlus,Irem Software Engineering,7.8,7,N/A,N/A,0.08,0.07,N/A,N/A,0.01,07th Apr 09,N/A,2009
"Just Cause 2
",PC,Action,Eidos Interactive,Avalanche Studios,7.8,8.2,N/A,4.16,N/A,N/A,N/A,N/A,N/A,23rd Mar 10,N/A,2010
"Just Cause 2
",PS3,Action,Square Enix,Avalanche Studios,7.8,8.3,N/A,N/A,1.75,0.45,0.92,0.06,0.32,23rd Mar 10,N/A,2010
"Just Cause 2
",X360,Action,Square Enix,Avalanche Studios,7.8,8,N/A,N/A,1.60,0.59,0.83,0.02,0.17,23rd Mar 10,N/A,2010
"Dark Mist
",PSN,Action,Sony Computer Entertainment,Game Republic,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th May 08,N/A,2008
"Dead Rising: Chop Till You Drop
",Wii,Action,Capcom,Capcom Production Studio 1 / TOSE Software,7.7,6.7,7.2,N/A,0.29,0.15,0.07,0.05,0.02,24th Feb 09,N/A,2009
"The Dishwasher: Dead Samurai
",XBL,Action,Microsoft,Ska Studios,7.7,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 09,N/A,2009
"inFAMOUS: Festival of Blood
",PSN,Action,Sony Computer Entertainment,Sucker Punch Productions,7.7,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Oct 11,07th Apr 18,2011
"One Piece: Pirate Warriors 2
",PS3,Action,Namco Bandai Games,Omega Force,7.7,N/A,N/A,N/A,0.66,N/A,0.21,0.42,0.03,01st Jan 14,12th Jan 18,2014
"Resident Evil 6
",PS3,Action,Capcom,Capcom,7.7,N/A,N/A,N/A,3.12,0.88,0.97,0.88,0.39,02nd Oct 12,N/A,2012
"Skylanders: Spyro's Adventure
",PS3,Action,Activision,Toys for Bob,7.7,8,N/A,N/A,0.94,0.39,0.40,N/A,0.15,16th Oct 11,N/A,2011
"Deadly Creatures
",Wii,Action,THQ,Rainbow Studios,7.6,6.9,6.8,N/A,0.22,0.08,0.12,N/A,0.02,09th Feb 09,N/A,2009
"No More Heroes: Heroes' Paradise
",PS3,Action,Konami,FeelPlus,7.6,7.4,N/A,N/A,0.20,0.10,0.04,0.04,0.02,16th Aug 11,N/A,2011
"One Piece Pirate Warriors
",PS3,Action,Namco Bandai Games,Omega Force,7.6,N/A,N/A,1.45,N/A,N/A,N/A,N/A,N/A,25th Sep 12,12th Jan 18,2012
"Assassin's Creed
",PS3,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8.5,N/A,4.83,1.91,2.01,0.09,0.82,13th Nov 07,N/A,2007
"Assassin's Creed
",X360,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8,N/A,5.55,3.28,1.64,0.07,0.56,13th Nov 07,N/A,2007
"Assassin's Creed II: Battle of Forlì
",PSN,Action,Ubisoft,Ubisoft Montreal,7.5,7.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 10,N/A,2010
"Assassin's Creed II: Battle of Forlì
",XBL,Action,Ubisoft,Ubisoft Montreal,7.5,6.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 10,N/A,2010
"Bayonetta 3
",NS,Action,Nintendo,PlatinumGames,7.5,N/A,N/A,1.04,N/A,N/A,N/A,N/A,N/A,28th Oct 22,31st Dec 17,2022
"Dynasty Warriors: Gundam 3
",X360,Action,Tecmo Koei,Omega Force,7.5,6.5,N/A,N/A,0.18,0.11,0.03,0.02,0.01,28th Jun 11,N/A,2011
"Final Fight: Double Impact
",PSN,Action,Capcom,Capcom,7.5,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 10,N/A,2010
"Final Fight: Double Impact
",XBL,Action,Capcom,Capcom,7.5,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Apr 10,N/A,2010
"Stardrone Extreme
",PSV,Action,Unknown,Beatshapers,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Aug 22,N/A
"Tokyo Jungle
",PS3,Action,Sony Computer Entertainment,PlayStation C.A.M.P.!,7.5,N/A,N/A,N/A,0.26,N/A,N/A,0.26,N/A,31st Dec 20,25th May 18,2020
"Toukiden Kiwami
",PS4,Action,Tecmo Koei,Koei Tecmo Games,7.5,N/A,N/A,N/A,0.19,0.06,0.07,0.03,0.03,28th Apr 15,31st Jul 18,2015
"Toukiden: The Age of Demons
",PSV,Action,Tecmo Koei,Omega Force,7.5,N/A,N/A,N/A,0.24,0.03,0.02,0.18,0.02,31st Mar 15,29th Oct 18,2015
"Transformers: War for Cybertron
",PS3,Action,Activision,High Moon Studios,7.5,7.8,N/A,N/A,0.50,0.24,0.18,N/A,0.07,22nd Jun 10,N/A,2010
"Silent Hill: Origins
",PSP,Action,Konami,Climax Group,7.4,7.8,N/A,N/A,0.52,0.22,0.16,0.04,0.10,06th Nov 07,N/A,2007
"Batman: The Brave and the Bold the Videogame
",DS,Action,Warner Bros. Interactive,WayForward Technologies,7.3,7.5,N/A,N/A,0.30,0.23,0.04,N/A,0.02,07th Sep 10,N/A,2010
"Kung Fu Strike
",X360,Action,Unknown,Qooc Software,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 22,N/A
"Ghostbusters: The Video Game
",Wii,Action,Atari,Red Fly Studio,7.3,7.6,N/A,N/A,0.87,0.59,0.21,N/A,0.07,16th Jun 09,N/A,2009
"Star Wars: The Force Unleashed
",Wii,Action,LucasArts,Krome Studios,7.3,6.8,7.4,N/A,1.86,1.11,0.56,0.00,0.19,16th Sep 08,N/A,2008
"Dante's Inferno
",PS3,Action,Electronic Arts,Visceral Games,7.2,7.3,8.3,N/A,1.08,0.64,0.28,0.04,0.12,09th Feb 10,N/A,2010
"Dante's Inferno
",X360,Action,Electronic Arts,Visceral Games,7.2,7,N/A,N/A,0.92,0.63,0.20,0.02,0.08,09th Feb 10,N/A,2010
