Console,North America,Europe,Japan,Rest of the World,Global
PlayStation 5 (PS5),15.01,10.93,3.24,6.63,35.8
Xbox Series X/S (XS),11.45,5.74,0.44,3.72,21.35
Nintendo Switch (NS),44.6,31.56,28.71,19.04,123.91
